knu_id,title,lifecycle_phase,knot_ref,knu_class,status,owner,created_date,description,evidence_refs,compliance_status,start_date,end_date,notes
KNU-AAMUAM-LC03-0001,Distributed propulsion system architecture document,LC03,KNOT-AAMUAM-LC03-0001,ARTEFACT,PLANNED,ASIT,2026-03-19,Produce system architecture document for N motor-propulsor distributed propulsion system covering DC bus topology motor-out logic and rotor configurations 4–18,,NOT_STARTED,2026-09-01,2027-03-31,ATA 61+71; shared with Q100 BWB programme
KNU-AAMUAM-LC03-0002,Motor-out safety analysis,LC03,KNOT-AAMUAM-LC03-0001,ANALYSIS_PACKAGE,PLANNED,ASIT,2026-03-19,Perform FHA and FMEA for motor-out scenarios demonstrating continued safe flight and landing capability per ARP4761A,,NOT_STARTED,2026-10-01,2027-06-30,ARP4761A safety analysis methodology
KNU-AAMUAM-LC03-0003,Power management unit architecture specification,LC03,KNOT-AAMUAM-LC03-0002,ARTEFACT,PLANNED,ASIT,2026-03-19,Define power management unit architecture for battery-dominant primary power with transient buffer management covering VTOL and cruise modes,,NOT_STARTED,2026-09-01,2027-03-31,ATA 24; spillover to Q100 H2 FC power management
KNU-AAMUAM-LC03-0004,Battery peak buffering trade study,LC03,KNOT-AAMUAM-LC03-0002,ANALYSIS_PACKAGE,PLANNED,ASIT,2026-03-19,Trade study on battery buffer sizing for peak power demands during vertical climb transition and emergency power modes,,NOT_STARTED,2026-09-01,2027-02-28,Informs KNOT-AAMUAM-LC03-0003 thermal management
KNU-AAMUAM-LC03-0005,Battery thermal management system specification,LC03,KNOT-AAMUAM-LC03-0003,ARTEFACT,PLANNED,ASIT,2026-03-19,Specification for battery thermal runaway containment system and State of Health tracking model per EU Battery Regulation 2023/1542,,NOT_STARTED,2026-10-01,2027-06-30,ATA 96; EU Battery Reg DPP compliance
KNU-AAMUAM-LC03-0006,SoH degradation model and DPP implementation,LC03,KNOT-AAMUAM-LC03-0003,ARTEFACT,PLANNED,ASIT,2026-03-19,Develop battery State of Health degradation model and implement Digital Product Passport data model per EU Battery Regulation 2023/1542 Article 14,,NOT_STARTED,2026-10-01,2027-09-30,DPP enables end-of-life battery traceability and recycling compliance
KNU-AAMUAM-LC03-0007,Motor controller software plan DO-178C,LC03,KNOT-AAMUAM-LC03-0004,ARTEFACT,PLANNED,ASIT,2026-03-19,Plan for DO-178C DAL A/B motor controller software development covering requirements capture design coding verification and validation,,NOT_STARTED,2026-08-01,2027-09-30,DO-178C; shared methodology with Q100 BWB
KNU-AAMUAM-LC03-0008,Motor controller hardware plan DO-254,LC03,KNOT-AAMUAM-LC03-0004,ARTEFACT,PLANNED,ASIT,2026-03-19,Plan for DO-254 DAL A/B motor controller hardware development covering design capture verification and production transition,,NOT_STARTED,2026-08-01,2027-09-30,DO-254; shared methodology with Q100 BWB
KNU-AAMUAM-LC03-0009,SC-VTOL certification basis document,LC03,KNOT-AAMUAM-LC03-0005,ARTEFACT,PLANNED,ASIT,2026-03-19,Produce certification basis document for SC-VTOL type certificate application identifying applicable special conditions and means of compliance,,NOT_STARTED,2026-08-01,2026-12-31,SC-VTOL type certificate application gate M2
KNU-AAMUAM-LC03-0010,EASA Issue Papers and Special Conditions tracker,LC03,KNOT-AAMUAM-LC03-0005,WORK_ITEM,PLANNED,ASIT,2026-03-19,Track and resolve EASA Issue Papers specific to AAM/UAM eVTOL certification; precedent analysis for Q100 CS-25+SC pathway,,NOT_STARTED,2026-07-01,2027-12-31,SC-VTOL precedent feeds Q100 KNOT-Q100BWB-LC03-0005
