knot_id,title,lifecycle_phase,obligation_source,status,owner,created_date,description,clause_refs,knu_refs,compliance_status,notes
KNOT-TEMPLATE-LC01-0001,Template KNOT — Problem Statement,LC01,Internal Governance,DRAFT,ASIT,2026-03-19,Template entry — replace with product-specific KNOTs,,,NOT_STARTED,Template only
KNOT-AAMUAM-LC01-0001,AAM/UAM network-defined operational concept,LC01,Internal Governance,APPROVED,ASIT,2026-03-19,The AAM/UAM mission is defined by the network not the vehicle alone — vertiport pairs + airspace corridors + charging infrastructure + UTM integration constitute the certified system,,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC01-0002,U-space corridor operations definition,LC01,EASA U-space Regulation (EU) 2021/664,APPROVED,ASIT,2026-03-19,Operations confined to U-space corridor at 150–300 m AGL requiring USSP integration and UTM data exchange,,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC01-0003,Vertiport infrastructure pair requirement,LC01,Internal Governance,APPROVED,ASIT,2026-03-19,Each mission requires a certified vertiport origin (A) and destination (B) with FATO pad ≥ 1.5D and ground charging infrastructure,,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0001,Mission class — two altitude strata,LC02,SC-VTOL § 2.1,APPROVED,ASIT,2026-03-19,Vehicle must operate across two altitude strata: ground-level vertiport operations (0–30 m) and U-space corridor cruise (150–300 m AGL),SC-VTOL § 2.1,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0002,Design range 30–150 km,LC02,Internal Governance,APPROVED,ASIT,2026-03-19,Design range envelope covers 30–80 km metro missions and up to 150 km regional missions including energy reserves,,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0003,Cruise performance 150–250 km/h TAS at 150–300 m AGL,LC02,Internal Governance,APPROVED,ASIT,2026-03-19,Sustained cruise at 150–250 km/h TAS at 150–300 m AGL in U-space corridor under normal conditions,,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0004,VTOL noise constraint ≤80 dB(A) at vertiport boundary,LC02,Community acceptance + SC-VTOL noise,APPROVED,ASIT,2026-03-19,Noise level at vertiport boundary must not exceed 80 dB(A) during vertical take-off and landing,SC-VTOL Noise § 5,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0005,Passenger and payload envelope,LC02,Internal Governance,APPROVED,ASIT,2026-03-19,Vehicle must accommodate single pilot or fully autonomous operation carrying 1–6 passengers with total payload 80–600 kg,,,NOT_STARTED,Product: AAM_UAM_EVTOL
KNOT-AAMUAM-LC02-0006,MTOM range 700–3175 kg SC-VTOL compliant,LC02,SC-VTOL § 3.1,APPROVED,ASIT,2026-03-19,Maximum Take-Off Mass must fall within 700–3175 kg bracket as defined by EASA SC-VTOL applicability scope,SC-VTOL § 3.1,,NOT_STARTED,Product: AAM_UAM_EVTOL
