knu_id,title,lifecycle_phase,knot_ref,knu_class,status,owner,created_date,description,evidence_refs,compliance_status,start_date,end_date,notes
KNU-AAMUAM-LC02-0001,Mission class altitude strata analysis,LC02,KNOT-AAMUAM-LC02-0001,ANALYSIS_PACKAGE,PLANNED,ASIT,2026-03-19,Produce trade study covering two-strata altitude profile and transition performance at 30–150 m climb phase,,NOT_STARTED,2026-06-01,2026-09-30,Informs aerodynamic and rotor sizing
KNU-AAMUAM-LC02-0002,Range–payload–energy trade study,LC02,KNOT-AAMUAM-LC02-0002,ANALYSIS_PACKAGE,PLANNED,ASIT,2026-03-19,Trade study across 30–150 km design range covering battery capacity sizing and charging network density,,NOT_STARTED,2026-06-01,2026-09-30,Drives battery technology selection
KNU-AAMUAM-LC02-0003,Cruise performance specification,LC02,KNOT-AAMUAM-LC02-0003,ARTEFACT,PLANNED,ASIT,2026-03-19,Produce vehicle performance specification covering cruise speed 150–250 km/h TAS and altitude 150–300 m AGL,,NOT_STARTED,2026-06-01,2026-08-31,Interfaces with aerodynamics and propulsion domains
KNU-AAMUAM-LC02-0004,Noise assessment at vertiport boundary,LC02,KNOT-AAMUAM-LC02-0004,ANALYSIS_PACKAGE,PLANNED,ASIT,2026-03-19,Analytical noise prediction and test plan for ≤80 dB(A) at vertiport boundary during VTOL phases,,NOT_STARTED,2026-07-01,2026-12-31,Basis for SC-VTOL noise compliance demonstration
KNU-AAMUAM-LC02-0005,Passenger cabin and payload requirements,LC02,KNOT-AAMUAM-LC02-0005,ARTEFACT,PLANNED,ASIT,2026-03-19,Define cabin layout and emergency egress for 1–6 pax and total payload 80–600 kg including baggage allowance,,NOT_STARTED,2026-06-01,2026-08-31,Egress analysis per SC-VTOL human factors
KNU-AAMUAM-LC02-0006,MTOM compliance declaration,LC02,KNOT-AAMUAM-LC02-0006,ARTEFACT,PLANNED,ASIT,2026-03-19,Produce MTOM declaration confirming 700–3175 kg bracket and applicability to SC-VTOL Category Enhanced,,NOT_STARTED,2026-06-01,2026-07-31,Required for SC-VTOL type certificate application
KNU-AAMUAM-LC02-0007,Energy reserves compliance analysis,LC02,KNOT-AAMUAM-LC02-0007,ANALYSIS_PACKAGE,PLANNED,ASIT,2026-03-19,Calculate battery energy margin for 20-min VFR hold plus diversion under worst-case temperature and SoH degradation,,NOT_STARTED,2026-07-01,2026-11-30,Reserve policy linked to battery KNOT-AAMUAM-LC03-0003
KNU-AAMUAM-LC02-0008,Turnaround and dispatch optimisation study,LC02,KNOT-AAMUAM-LC02-0008,ANALYSIS_PACKAGE,PLANNED,ASIT,2026-03-19,Trade study on 5–10 min turnaround to achieve ≥10 flights per vehicle per day including fast-charging constraint,,NOT_STARTED,2026-07-01,2026-10-31,Battery cycle life impact from fast charging
KNU-AAMUAM-LC02-0009,Weather minima and avionics capability plan,LC02,KNOT-AAMUAM-LC02-0009,ARTEFACT,PLANNED,ASIT,2026-03-19,Define avionics capability roadmap from initial VFR through IFR to SC-VTOL Cat 1a including sensor and autopilot requirements,,NOT_STARTED,2026-08-01,2026-12-31,Avionics maturity gate drives EIS date
KNU-AAMUAM-LC02-0010,Vertiport FATO pad sizing calculation,LC02,KNOT-AAMUAM-LC02-0010,ARTEFACT,PLANNED,ASIT,2026-03-19,Calculate FATO minimum diameter as 1.5 × D for proposed rotor configurations (4–18 rotors) and produce infrastructure specification,,NOT_STARTED,2026-06-01,2026-08-31,D = 10 × outer rotor envelope; drives vertiport partner requirements
