knu_id,title,lifecycle_phase,knot_ref,knu_class,status,owner,created_date,description,evidence_refs,compliance_status,start_date,end_date,notes
KNU-SSTO-LC09-0001,Mode Transition Test Programme,LC09,KNOT-SSTO-LC09-0001,ARTEFACT,DRAFT,ASIT,2026-03-19,Test programme for combined-cycle engine mode transition across the full Mach range including failure mode verification,,NOT_STARTED,,,Covers air-breathing to rocket transition and back
KNU-SSTO-LC09-0002,Propulsion Transition Failure Mode Analysis,LC09,KNOT-SSTO-LC09-0001,ANALYSIS_PACKAGE,DRAFT,ASIT,2026-03-19,FMEA/FTA covering all failure modes during propulsion mode switching with safety mitigation evidence,,NOT_STARTED,,,
KNU-SSTO-LC09-0003,Mode Switching Certification Compliance Document,LC09,KNOT-SSTO-LC09-0001,RECORD,DRAFT,ASIT,2026-03-19,Compliance document demonstrating mode switching safety against applicable certification basis,,NOT_STARTED,,,
KNU-SSTO-LC09-0004,TPS Inspection Criteria and Procedure,LC09,KNOT-SSTO-LC09-0002,ARTEFACT,DRAFT,ASIT,2026-03-19,Inspection criteria and procedure for TPS panel assessment after each hypersonic re-entry mission,,NOT_STARTED,,,"Inspect metallic/CMC panels for erosion, delamination, and thermal damage"
KNU-SSTO-LC09-0005,TPS Re-flight Authorisation Process,LC09,KNOT-SSTO-LC09-0002,ARTEFACT,DRAFT,ASIT,2026-03-19,Formal re-flight authorisation process defining pass/fail criteria and signoff authority for TPS re-use,,NOT_STARTED,,,
KNU-SSTO-LC09-0006,TPS Reusability Test and Demonstration Report,LC09,KNOT-SSTO-LC09-0002,REPORT,DRAFT,ASIT,2026-03-19,Test and demonstration report evidencing TPS reusability across the required number of flight cycles,,NOT_STARTED,,,
KNU-SSTO-LC09-0007,Abort Mode Analysis - Full Envelope,LC09,KNOT-SSTO-LC09-0003,ANALYSIS_PACKAGE,DRAFT,ASIT,2026-03-19,Analysis of abort modes and trajectories covering all mission phases from takeoff through orbit/apex to re-entry,,NOT_STARTED,,,Subsonic / transonic / supersonic / hypersonic abort cases
KNU-SSTO-LC09-0008,Return-to-Landing Capability Verification,LC09,KNOT-SSTO-LC09-0003,ARTEFACT,DRAFT,ASIT,2026-03-19,Flight simulation and test verification of return-to-landing capability from each abort scenario,,NOT_STARTED,,,
KNU-SSTO-LC09-0009,Abort Coverage Compliance Statement,LC09,KNOT-SSTO-LC09-0003,RECORD,DRAFT,ASIT,2026-03-19,Formal compliance statement with evidence references demonstrating full-envelope abort coverage,,NOT_STARTED,,,
KNU-SSTO-LC09-0010,Airworthiness Certification Basis Document,LC09,KNOT-SSTO-LC09-0004,ARTEFACT,DRAFT,ASIT,2026-03-19,Document defining the applicable airworthiness certification basis for the subsonic/transonic flight phases,,NOT_STARTED,,,EASA CS / FAA FAR applicable parts
KNU-SSTO-LC09-0011,Launch Licence Compliance Plan,LC09,KNOT-SSTO-LC09-0004,ARTEFACT,DRAFT,ASIT,2026-03-19,Plan for compliance with space launch licensing requirements covering supersonic/hypersonic and orbital phases,,NOT_STARTED,,,AST / national space authority applicable regulations
KNU-SSTO-LC09-0012,Dual Framework Regulatory Interface Agreement,LC09,KNOT-SSTO-LC09-0004,RECORD,DRAFT,ASIT,2026-03-19,Formal agreement between airworthiness and launch licensing authorities defining responsibilities and interface,,NOT_STARTED,,,
KNU-SSTO-LC09-0013,Cryo Tank Fatigue Analysis,LC09,KNOT-SSTO-LC09-0005,ANALYSIS_PACKAGE,DRAFT,ASIT,2026-03-19,Structural fatigue analysis for LH2/LOX integral tanks under cryogenic thermal cycling and pressure load spectra,,NOT_STARTED,,,Thermal fatigue from cryogenic fill and TPS coolant cycling
KNU-SSTO-LC09-0014,Cryo Tank Inspection and Turnaround Procedure,LC09,KNOT-SSTO-LC09-0005,ARTEFACT,DRAFT,ASIT,2026-03-19,Inspection and turnaround procedure for cryogenic tanks defining minimum inspection intervals and allowable re-use life,,NOT_STARTED,,,
KNU-SSTO-LC09-0015,Cryo Reuse Certification Evidence Package,LC09,KNOT-SSTO-LC09-0005,RECORD,DRAFT,ASIT,2026-03-19,Evidence package demonstrating airworthiness of cryo reuse cycle including fatigue data and inspection records,,NOT_STARTED,,,
